0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
-50.57,1.84,-44.08,-86.85,15.64,-22.15,-92.21,17.63,-3.59,-87.62,14.15,11.12,-72.89,16.26,25.87
-50.53,1.84,-44.13,-86.85,15.61,-22.17,-92.25,17.55,-3.61,-87.65,14.03,11.1,-72.91,16.14,25.92
-50.51,1.88,-44.2,-86.87,15.66,-22.2,-92.3,17.51,-3.63,-87.71,13.97,11.09,-72.94,16.07,25.98
-50.48,1.93,-44.25,-86.85,15.7,-22.22,-92.31,17.47,-3.65,-87.72,13.91,11.08,-72.95,16.01,26.03
-50.44,1.98,-44.3,-86.84,15.74,-22.24,-92.33,17.43,-3.67,-87.74,13.85,11.06,-72.95,15.95,26.08
-50.43,2.0,-44.36,-86.88,15.74,-22.26,-92.39,17.39,-3.69,-87.8,13.75,11.05,-73.0,15.84,26.15
-50.41,2.01,-44.4,-86.89,15.72,-22.26,-92.41,17.33,-3.71,-87.83,13.65,11.03,-73.01,15.72,26.21
-50.43,2.03,-44.44,-86.97,15.62,-22.27,-92.48,17.28,-3.72,-87.89,13.61,11.01,-73.06,15.66,26.28
-50.42,2.06,-44.45,-87.0,15.49,-22.28,-92.5,17.23,-3.73,-87.9,13.58,10.99,-73.06,15.59,26.34
-50.45,2.02,-44.48,-87.12,15.35,-22.27,-92.58,17.2,-3.73,-87.97,13.56,10.96,-73.13,15.53,26.37
-50.44,1.97,-44.49,-87.18,15.19,-22.23,-92.59,17.17,-3.73,-87.98,13.55,10.92,-73.14,15.46,26.38
-50.44,1.92,-44.48,-87.24,15.01,-22.2,-92.6,17.13,-3.73,-87.98,13.54,10.87,-73.16,15.39,26.39
-50.51,1.87,-44.51,-87.38,14.9,-22.19,-92.7,17.15,-3.73,-88.08,13.57,10.85,-73.25,15.37,26.4
-50.53,1.81,-44.48,-87.42,14.78,-22.15,-92.7,17.16,-3.72,-88.07,13.6,10.82,-73.26,15.34,26.38
-50.59,1.75,-44.52,-87.57,14.69,-22.13,-92.83,17.14,-3.73,-88.18,13.6,10.8,-73.36,15.31,26.4
-50.59,1.68,-44.51,-87.61,14.58,-22.09,-92.84,17.11,-3.74,-88.19,13.59,10.78,-73.37,15.25,26.39
-50.59,1.61,-44.5,-87.65,14.48,-22.04,-92.85,17.07,-3.74,-88.19,13.57,10.75,-73.39,15.2,26.37
-50.66,1.56,-44.56,-87.82,14.41,-22.03,-93.0,17.06,-3.76,-88.33,13.57,10.74,-73.51,15.16,26.41
-50.66,1.51,-44.55,-87.85,14.31,-21.98,-93.01,17.03,-3.76,-88.33,13.55,10.73,-73.52,15.09,26.41
-50.71,1.45,-44.61,-88.01,14.2,-21.97,-93.14,17.0,-3.77,-88.45,13.53,10.73,-73.63,15.05,26.46
-50.7,1.38,-44.62,-88.05,14.06,-21.94,-93.16,16.96,-3.77,-88.46,13.49,10.72,-73.64,14.98,26.47
-50.75,1.36,-44.68,-88.2,13.98,-21.92,-93.29,16.93,-3.77,-88.58,13.47,10.74,-73.74,14.94,26.52
